client_gender,vehicle_production_year,age,had_car_loan,had_other_loans,loan_type,loan_initial_term,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,region_region 1,region_region 10,region_region 11,region_region 12,region_region 2,region_region 3,region_region 4,region_region 5,region_region 6,region_region 7,region_region 8,region_region 9,branch_branch 2,branch_branch 3,branch_branch 4,branch_branch 5,branch_branch 6,branch_branch 7,default_status,log_income,log_vehical_value,log_loan_amount
1,2002,37.0,0,0,0,36,0.2,35.8757628970907,3.374,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7.101675971619444,9.169518377455928,7.560080465021827
1,1995,36.0,0,0,0,54,0.777777777777778,36.0797487462543,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,8.776475789346321,8.525161361065415
1,1999,57.0,0,0,1,18,0.454545454545455,42.2920280087783,3.374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.579251212010101,8.571681376700306,7.783224016336037
0,2000,65.0,0,0,0,36,0.886363636363636,35.5800554019289,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,9.264828557260252,9.144200569471638
1,2008,35.0,0,0,1,54,0.75,37.0901662096408,3.374,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,8.946374826141717,8.658692753689937
1,1998,32.0,1,0,0,36,0.333333333333333,39.5865391787528,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,8.881836305004146,7.783224016336037
1,2012,33.0,0,1,0,36,0.264705882352941,37.900980828901,3.374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,9.006999447958153,7.67786350067821
1,2009,36.0,0,0,0,18,0.794117647058823,41.0836974214552,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9.862665558015873,9.700146628518098,9.469622969906265
0,1996,36.0,0,0,0,36,0.615384615384615,37.5385815707297,3.374,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6.866933284461882,8.738735461363474,8.253227645581772
1,1998,29.0,0,0,0,18,0.375,36.8114464146337,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,8.658692753689937,7.67786350067821
1,1999,28.0,0,0,0,18,0.538461538461538,42.0498493817297,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.866933284461882,8.738735461363474,8.11969625295725
1,2005,60.0,0,0,0,9,0.583333333333333,45.0804736524677,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,7.965545573129992,7.426549072397305
1,1999,31.0,0,0,0,54,0.772727272727273,36.0146384586491,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6.466144724237619,8.571681376700306,8.313852267398207
0,1996,57.0,0,0,1,36,0.804347826086957,36.5425215082401,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6.815639990074331,9.309280319831087,9.091556835986216
0,1998,31.0,0,0,0,36,0.545454545454545,38.0589652151126,3.374,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,8.571681376700306,7.965545573129992
1,1996,43.0,0,0,0,18,0.388888888888889,39.7989126378969,3.374,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.579251212010101,8.371010681238156,7.426549072397305
1,1999,41.0,1,0,0,18,0.416666666666667,37.9004054716574,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6.866933284461882,8.435549202375727,7.560080465021827
1,2008,26.0,0,0,0,54,0.625,38.1779766352679,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,8.946374826141717,8.476371196895983
1,2004,41.0,0,0,0,36,0.444444444444444,34.9053478284979,2.6710832771,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6.473890696352274,8.371010681238156,7.560080465021827
