clientid,region,branch,client_gender,income,vehicle_production_year,vehicle_initial_assessment_value,age,had_car_loan,had_other_loans,loan_type,loan_initial_term,loan_initial_amount,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,client_type,ratio
0,region 9,branch 3,male,1214,2002,9600,37.0,0,0,leaseback,36,1920,0.2,35.8757628970907,3.374,default,1.16666666666667
1,Unknown,branch 3,male,0,1995,6480,36.0,0,0,leaseback,54,5040,0.777777777777778,36.0797487462543,3.374,default,1.02777777777778
2,region 2,branch 5,male,720,1999,5280,57.0,0,0,leasing,18,2400,0.454545454545455,42.2920280087783,3.374,default,0.916666666666667
3,Unknown,branch 3,female,0,2000,10560,65.0,0,0,leaseback,36,9360,0.886363636363636,35.5800554019289,3.374,default,0.916666666666667
4,region 6,branch 2,male,0,2008,7680,35.0,0,0,leasing,54,5760,0.75,37.0901662096408,3.374,default,0.888888888888889
5,Unknown,branch 3,male,0,1998,7200,32.0,1,0,leaseback,36,2400,0.333333333333333,39.5865391787528,3.374,default,0.875
6,region 2,branch 5,male,0,2012,8160,33.0,0,1,leaseback,36,2160,0.264705882352941,37.900980828901,3.374,default,0.833333333333333
7,region 5,branch 5,male,19200,2009,16320,36.0,0,0,leaseback,18,12960,0.794117647058823,41.0836974214552,3.374,default,0.833333333333333
8,region 6,branch 2,female,960,1996,6240,36.0,0,0,leaseback,36,3840,0.615384615384615,37.5385815707297,3.374,default,0.833333333333333
9,region 6,branch 3,male,0,1998,5760,29.0,0,0,leaseback,18,2160,0.375,36.8114464146337,3.374,default,0.833333333333333
10,region 6,branch 3,male,960,1999,6240,28.0,0,0,leaseback,18,3360,0.538461538461538,42.0498493817297,3.374,default,0.833333333333333
11,Unknown,branch 5,male,0,2005,2880,60.0,0,0,leaseback,9,1680,0.583333333333333,45.0804736524677,3.374,default,0.833333333333333
12,region 5,branch 6,male,643,1999,5280,31.0,0,0,leaseback,54,4080,0.772727272727273,36.0146384586491,3.374,default,0.805555555555556
13,region 5,branch 3,female,912,1996,11040,57.0,0,0,leasing,36,8880,0.804347826086957,36.5425215082401,3.374,default,0.791666666666667
14,region 7,branch 7,female,0,1998,5280,31.0,0,0,leaseback,36,2880,0.545454545454545,38.0589652151126,3.374,default,0.75
15,region 10,branch 1,male,720,1996,4320,43.0,0,0,leaseback,18,1680,0.388888888888889,39.7989126378969,3.374,default,0.75
16,region 5,branch 6,male,960,1999,4608,41.0,1,0,leaseback,18,1920,0.416666666666667,37.9004054716574,3.374,default,0.75
17,Unknown,branch 3,male,0,2008,7680,26.0,0,0,leaseback,54,4800,0.625,38.1779766352679,3.374,default,0.722222222222222
18,region 6,branch 2,male,648,2004,4320,41.0,0,0,leaseback,36,1920,0.444444444444444,34.9053478284979,2.6710832771,default,0.708333333333333
19,region 10,branch 1,female,480,1999,5760,62.0,0,0,leaseback,36,1680,0.291666666666667,39.4946691145578,3.374,default,0.708333333333333
